,atomic_number,ion_number,level_number_lower,level_number_upper,line_id,wavelength,f_ul,f_lu,nu,B_lu,B_ul,A_ul
0,2,0,0,743,1,504.30299999999994,1.3393027028298e-06,4.0179081084894e-06,5944689165045617.0,34019.43142197889,11339.810473992962,35126.741848146994
1,2,0,0,735,2,504.3039999999999,1.3895646115677849e-06,4.168693834703355e-06,5944677377137599.0,35296.19678019561,11765.39892673187,36444.84828689248
2,2,0,0,727,3,504.30499999999995,1.4450362612917614e-06,4.3351087838752845e-06,5944665589276330.0,36705.299592725634,12235.099864241878,37899.58236946278
3,2,0,0,718,4,504.30599999999987,1.5027223484715335e-06,4.508167045414601e-06,5944653801461811.0,38170.656928748656,12723.552309582885,39412.383678589555
4,2,0,0,710,5,504.3069999999999,1.5627112738175518e-06,4.688133821452655e-06,5944642013694039.0,39694.51459416099,13231.50486472033,40985.57002813182
5,2,0,0,701,6,504.3089999999999,1.6250949670112867e-06,4.87528490103386e-06,5944618438298742.0,41279.28990560225,13759.763301867417,42621.38272056162
6,2,0,0,693,7,504.3099999999999,1.6899690275823482e-06,5.0699070827470445e-06,5944606650671215.0,42927.25112470102,14309.083708233673,44322.659610653434
7,2,0,0,685,8,504.3109999999999,1.761484172583934e-06,5.284452517751802e-06,5944594863090434.0,44743.910766072266,14914.636922024089,46198.09741597622
8,2,0,0,676,9,504.31299999999993,1.8360256546846764e-06,5.508076964054029e-06,5944571288069116.0,46637.543005448126,15545.84766848271,48152.70021211124
9,2,0,0,667,10,504.31399999999985,1.9137215406910935e-06,5.74116462207328e-06,5944559500628578.0,48611.220329439435,16203.740109813145,50190.19965939055
10,2,0,0,659,11,504.3159999999999,1.9993035875183626e-06,5.997910762555088e-06,5944535925887737.0,50785.326161958226,16928.442053986073,52434.300503931
11,2,0,0,650,12,504.3179999999999,2.083908975918954e-06,6.251726927756862e-06,5944512351333881.0,52934.64054167719,17644.880180559063,54652.751832220485
12,2,0,0,642,13,504.3189999999999,2.177101842158243e-06,6.531305526474729e-06,5944500564127070.0,55301.99892785782,18433.999642619277,57096.60844397702
13,2,0,0,634,14,504.3209999999999,2.2797054909380976e-06,6.8391164728142925e-06,5944476989853684.0,57908.53149113515,19302.843830378384,59787.014497655466
14,2,0,0,625,15,504.32299999999987,2.3816544202517113e-06,7.1449632607551344e-06,5944453415767277.0,60498.4536336441,20166.1512112147,62460.2074911559
15,2,0,0,617,16,504.3249999999999,2.493898335037179e-06,7.481695005111538e-06,5944429841867843.0,63349.909139249474,21116.636379749823,65403.3476384033
16,2,0,0,609,17,504.3269999999999,2.61143214255404e-06,7.83429642766212e-06,5944406268155384.0,66335.76144260731,22111.920480869107,68485.1692663698
17,2,0,0,600,18,504.3289999999999,2.740808833156904e-06,8.222426499470711e-06,5944382694629894.0,69622.47227039546,23207.490756798485,71877.52079072414
18,2,0,0,592,19,504.3319999999999,2.876595159223234e-06,8.629785477669701e-06,5944347334692227.0,73072.17330253396,24357.39110084466,75437.61025260197
19,2,0,0,583,20,504.3339999999999,3.0191086696606662e-06,9.057326008981998e-06,5944323761634155.0,76692.6503692097,25564.21678973657,79174.34472083514
20,2,0,0,574,21,504.33699999999993,3.1759872134121733e-06,9.52796164023652e-06,5944288402397603.0,80678.2240974976,26892.741365832528,83287.40116826934
21,2,0,0,565,22,504.33899999999994,3.3333333333333337e-06,1e-05,5944264829806935.0,84675.5550468937,28225.185015631236,87412.96800676567
22,2,0,0,556,23,504.34199999999987,3.51462298797086e-06,1.054386896391258e-05,5944229471271479.0,89281.32676219712,29760.4422540657,92165.99156106672
23,2,0,0,547,24,504.3449999999999,3.6972493842080033e-06,1.109174815262401e-05,5944194113156668.0,93921.11046998925,31307.03682332975,96953.95575085106
24,2,0,0,538,25,504.34799999999996,3.898331303399567e-06,1.16949939101987e-05,5944158755462498.0,99029.77723030285,33009.92574343429,102225.76435247049
